gaussian_sigma,speckle_sigma,mse,mae,psnr_db,ssim,mean_inference_ms,median_inference_ms
0.01,0.05,0.0028021007,0.032918584,27.6427352198138,0.7397782207099984,10.496791562519547,9.795500000109314
0.01,0.1,0.0030406702,0.03483998,27.108819255121727,0.723937741241285,9.841835624968098,9.81934999981604
0.01,0.2,0.004916657,0.047085136,24.214496571568766,0.6037549112704831,9.861573437495963,9.825250000176311
0.03,0.05,0.0029716804,0.034931254,27.164942624622388,0.7157879724765539,9.828364375010779,9.789450000425859
0.03,0.1,0.0032435656,0.037053622,26.602581131645234,0.6963094161526866,9.80960218743121,9.788599999410508
0.03,0.2,0.005211327,0.049615003,23.818319929658827,0.5726974743700708,9.95349437498021,9.90645000092627
0.05,0.05,0.0034053358,0.03909331,26.178729064391803,0.6625873016886126,9.90890250003531,9.866900000815804
0.05,0.1,0.0037353367,0.041494694,25.620508800204334,0.639123313215601,9.90096343751361,9.855500000412576
0.05,0.2,0.0059131356,0.054532915,23.046492076806146,0.5174506026016549,9.926548124974488,9.859150000920636
