filename,mse,mae,psnr,ssim,lpips,inference_ms
001863.npy,0.002195976674556732,0.03779185190796852,26.5837231672605,0.6173717496495247,0.4856294095516205,142.2487999952864
001086.npy,0.0005667334189638495,0.014662211760878563,32.466211713943196,0.9075155374581814,0.08342798054218292,117.7258000097936
001599.npy,0.006600456312298775,0.07130556553602219,21.804260386396507,0.7806908881301359,0.28331655263900757,120.10640000517014
000008.npy,0.007804736029356718,0.06760183721780777,21.07641803276686,0.6855285517133921,0.2948271632194519,114.27409999305382
001552.npy,0.006419672165066004,0.0495746023952961,21.92487156709764,0.8048385138428509,0.221249058842659,115.23509999096859
000674.npy,0.0036273933947086334,0.04637128859758377,24.4040532335894,0.7997211229428984,0.05965113267302513,120.67939998814836
000240.npy,0.004961703903973103,0.042005691677331924,23.04369153444668,0.8359892472272515,0.25294971466064453,103.58039999846369
001642.npy,0.0012670151190832257,0.02631598711013794,28.972182285022406,0.7181594939241409,0.3443866968154907,117.63680000149179
000875.npy,0.0026696096174418926,0.03928403556346893,25.735522690584787,0.6823320390245915,0.35516446828842163,105.17240001354367
001971.npy,0.0035165217705070972,0.05072786286473274,24.538867120510343,0.5728253133246899,0.5603260397911072,109.76419999497011
001989.npy,0.002202678471803665,0.037252187728881836,26.57048884208119,0.9221001255059242,0.23156580328941345,119.13760000606999
001664.npy,0.006085130386054516,0.057669878005981445,22.157300793639784,0.6850422619565563,0.33566543459892273,111.07169999741018
000681.npy,0.001745852641761303,0.02890196070075035,27.5799239274056,0.906087639705658,0.07935455441474915,112.72370000369847
000968.npy,0.003930205944925547,0.041820552200078964,24.055846999524405,0.7490314711366594,0.2638283371925354,115.86979999265168
000382.npy,0.0032760794274508953,0.043708544224500656,24.846455684059514,0.45808719263504444,0.7808979749679565,97.7126999932807
000060.npy,0.004124621860682964,0.05000089854001999,23.846158919556686,0.6531071701743603,0.36716970801353455,131.82319999032188
002214.npy,0.0005576279945671558,0.016647260636091232,32.53655430805031,0.8419840649018288,0.2279258519411087,119.73659999785013
002671.npy,0.0053117843344807625,0.05950043722987175,22.747595613437838,0.7545357609000206,0.25343403220176697,143.00029999867547
000207.npy,0.006999407894909382,0.05808515101671219,21.549386979667794,0.7312084653411252,0.27744245529174805,162.6657000015257
000401.npy,0.0028238126542419195,0.04565257579088211,25.491641230368973,0.75334740841496,0.3441733717918396,113.95440000342205
002254.npy,0.004533601924777031,0.05619138106703758,23.435566073779725,0.5717430663651377,0.39411041140556335,115.78389999340288
001815.npy,0.004448876716196537,0.051526181399822235,23.51749594085442,0.8013374630459696,0.16199296712875366,113.38949999480974
000308.npy,0.00243714009411633,0.0353277251124382,26.131195050186264,0.9155684498904944,0.1374496966600418,115.66700000548735
001023.npy,0.0021980986930429935,0.03158315271139145,26.579527773255826,0.7557901558153033,0.28358569741249084,146.48600001237355
001894.npy,0.003692880505695939,0.04360054433345795,24.32634773402817,0.8016246351927845,0.16356945037841797,130.81030000466853
002943.npy,0.0040616667829453945,0.04860031604766846,23.912957314040302,0.6122532158486247,0.4794358015060425,102.32470001210459
000751.npy,0.0032078162766993046,0.042356956750154495,24.937904945281268,0.7116915810157508,0.37751203775405884,149.1109999915352
003184.npy,0.006141037680208683,0.05405285209417343,22.117582584849018,0.7916076174596399,0.22516047954559326,109.25890000362415
000574.npy,0.010458776727318764,0.10068843513727188,19.805190929757565,0.9433735369988084,0.15232446789741516,151.84740000404418
001837.npy,0.0028162719681859016,0.03523460030555725,25.503253975817902,0.7442114146855687,0.24399179220199585,127.41519999690354
003142.npy,0.0004926138208247721,0.015727028250694275,33.074934077761455,0.8575309406499863,0.31115227937698364,111.77499999757856
002931.npy,0.006748532876372337,0.06334958970546722,21.707906225311294,0.48052524817586134,0.5041667819023132,152.21650000603404
000784.npy,0.003130348864942789,0.03911061957478523,25.044072684440188,0.8230409743142426,0.17514733970165253,129.3217999918852
001018.npy,0.0015452568186447024,0.02861747518181801,28.109993237964453,0.8241014490239583,0.2155231535434723,131.70779999927618
000447.npy,0.002016836078837514,0.03509647399187088,26.95329380633714,0.8008881153350249,0.33390504121780396,117.06899999990128
001389.npy,0.0021283761598169804,0.037141747772693634,26.719516359679677,0.6994092389022708,0.5436220169067383,148.28480000142008
001649.npy,0.001208596397191286,0.02518208511173725,29.177187243667667,0.8189198952060938,0.19692789018154144,145.59050000389107
000248.npy,0.002934759948402643,0.03942101448774338,25.324274219483485,0.8273944185310155,0.19288979470729828,127.90849999873899
