filename,baseline_mse,baseline_mae,baseline_psnr,baseline_ssim,baseline_lpips,baseline_inference_ms,noise_aware_mse,noise_aware_mae,noise_aware_psnr,noise_aware_ssim,noise_aware_lpips,noise_aware_inference_ms
001863.npy,0.0009872198570519686,0.024218186736106873,30.055861460633416,0.6084509415122131,0.5318020582199097,11.800200009020045,0.0008876818465068936,0.023024994879961014,30.517426395582596,0.6204488177229762,0.4837040901184082,12.399999992339872
001086.npy,0.0004054018936585635,0.012260880321264267,33.92114247345791,0.9253614346048832,0.06455855071544647,12.052699996274896,0.00034734889050014317,0.011639809235930443,34.59234094437597,0.9159203126633167,0.0798516646027565,11.933700006920844
001599.npy,0.0015658207703381777,0.026439333334565163,28.052579623206626,0.7813232012256299,0.27858656644821167,12.055099999997765,0.0015415914822369814,0.026136482134461403,28.12030684765574,0.7902293914422588,0.2729610800743103,11.8023999966681
000008.npy,0.006575838662683964,0.05811270326375961,21.820488556091178,0.6841719948009514,0.253020703792572,12.114500001189299,0.006326545495539904,0.056812793016433716,21.98833373859744,0.6962387373490916,0.2849147319793701,12.505099992267787
001552.npy,0.0063499584794044495,0.04861385375261307,21.97229122262939,0.8009912122747842,0.198923721909523,12.011200000415556,0.005825197324156761,0.04646443575620651,22.34689354931176,0.8133869020393193,0.21739493310451508,11.685699995723553
000674.npy,0.002912007737904787,0.038831137120723724,25.358075052913197,0.794083473626472,0.061393436044454575,12.080500004230998,0.002610289491713047,0.03729525953531265,25.833112987427732,0.7964916838940606,0.061017777770757675,11.701800001901574
000240.npy,0.004725934471935034,0.0371343269944191,23.25512316685326,0.8181517227527024,0.25228074193000793,12.01000000583008,0.004462002776563168,0.035624027252197266,23.5047020806299,0.8420803871412277,0.2488829642534256,11.933899993891828
001642.npy,0.0010259440168738365,0.023475825786590576,29.888763454711558,0.7342040859959126,0.30210965871810913,12.092399992980063,0.001004170742817223,0.023328471928834915,29.981924523906006,0.7272359725360871,0.3417889177799225,11.80170000588987
000875.npy,0.0021549277007579803,0.03505035489797592,26.665672815600633,0.6897211693221181,0.34264442324638367,12.839399991207756,0.0021027640905231237,0.03466051444411278,26.772094643043168,0.6933666296321228,0.35019516944885254,11.845700006233528
001971.npy,0.001165916328318417,0.026774486526846886,29.333326021749,0.5845907223160267,0.5023856163024902,12.170400004833937,0.0011671169195324183,0.026630824431777,29.32885634430997,0.575444662001133,0.5580692291259766,12.314800012973137
001989.npy,0.00038222968578338623,0.014196082949638367,34.176755941046835,0.8949253239863068,0.2922601103782654,12.310299993259832,0.0003352303465362638,0.013515192084014416,34.74656699962714,0.9237488437802791,0.22894543409347534,11.956199989072047
001664.npy,0.005386264994740486,0.052463751286268234,22.68712277663118,0.6831448215896068,0.3142898380756378,12.079100008122623,0.004878780338913202,0.05018991976976395,23.116887103125666,0.6974021226975774,0.33050537109375,12.215399998240173
000681.npy,0.0012180603807792068,0.020864997059106827,29.14331181261688,0.8985286708832979,0.07526303827762604,12.101200001779944,0.0009484982001595199,0.01917359046638012,30.229634591637584,0.9092369968976974,0.07623420655727386,11.885599989909679
000968.npy,0.0037177354097366333,0.04133690521121025,24.29721548207315,0.7486248930317759,0.22656306624412537,12.088000003132038,0.0035533136688172817,0.04010441154241562,24.493664625063126,0.759538322151158,0.2599479854106903,11.834600009024143
