filename,mse,psnr,ssim,lpips,inference_ms
000000.npy,0.000682133,31.661309423684344,0.8927629750551656,0.1310880482196808,469.24969999236055
000001.npy,0.0006769384,31.694508365229108,0.8593265998517274,0.14065131545066833,12.668300012592226
000002.npy,0.0005931803,32.26813259791576,0.871520851063624,0.1650499552488327,12.113300006603822
000003.npy,0.00050763495,32.94448538802152,0.8834776263356209,0.205415740609169,12.154900003224611
000004.npy,0.007397001,21.3094432258356,0.5847949106441875,0.38132861256599426,12.09289999678731
000005.npy,0.0014551634,28.370882248698802,0.6411853896876406,0.39992499351501465,12.16980000026524
000006.npy,0.0014418856,28.41069208458221,0.6359774659198523,0.40209510922431946,12.136899982579052
000007.npy,0.0014728673,28.31836345804632,0.6439057877696058,0.3916376829147339,12.141499988501891
000008.npy,0.0063265455,21.98833373859744,0.6962387373490916,0.2849147319793701,12.066399998730049
000009.npy,0.0039375937,24.047690925816077,0.7294185734953992,0.23307985067367554,12.070500000845641
000010.npy,0.0032965438,24.819411300208905,0.7306015701094847,0.23884359002113342,12.100499996449798
000011.npy,0.0038082462,24.192749725742104,0.7410421876090728,0.23152393102645874,12.160299986135215
000012.npy,0.0008754483,30.577694942473023,0.7325179121752977,0.40188607573509216,12.1373999863863
000013.npy,0.0034767585,24.588254559068506,0.8867454129194617,0.2076392024755478,12.127399997552857
000014.npy,0.0026050871,25.841777252835758,0.9125047690154612,0.15039610862731934,12.126600020565093
000015.npy,0.0036558097,24.370164136366572,0.8878286656804383,0.1751391887664795,12.12249998934567
000016.npy,0.0015397455,28.125510607642955,0.7833132219634429,0.22325929999351501,12.163400009740144
000017.npy,0.0036849591,24.335673191585112,0.8409901835272461,0.17112261056900024,12.190399982500821
000018.npy,0.0036781924,24.343655965164082,0.8352177961295825,0.18381254374980927,12.539700022898614
000019.npy,0.0037454546,24.264954662498024,0.8416452484096755,0.17829957604408264,12.31809999444522
000020.npy,0.0007314808,31.357970656420928,0.8253523511862755,0.2863566279411316,12.073000019881874
000021.npy,0.00064533774,31.902129605221315,0.8798175503188967,0.22178024053573608,12.156299984781072
000022.npy,0.00066513533,31.770899849543973,0.8750402289066315,0.21951371431350708,12.190999987069517
000023.npy,0.0006073855,32.16535587992611,0.8810242779022157,0.2350209504365921,12.148300011176616
000024.npy,0.010331359,19.858425595976477,0.5864894215707853,0.4325968623161316,12.060499982908368
000025.npy,0.0051147733,22.911736029546034,0.713060481069073,0.30496177077293396,12.186000007204711
000026.npy,0.0049604317,23.044805315511713,0.7139956204749197,0.3078107535839081,12.161499995272607
000027.npy,0.005201254,22.838918971661336,0.7066564800491333,0.30336830019950867,12.070099997799844
000028.npy,0.0015024152,28.23210018252578,0.6782242840709686,0.44384196400642395,12.159800011431798
000029.npy,0.0029223156,25.342728891965187,0.7632445412139688,0.20266717672348022,12.144199979957193
000030.npy,0.0024076672,26.184035139202866,0.7774928964348184,0.22331282496452332,12.20830000238493
000031.npy,0.0027554242,25.598115252627043,0.7729034491250971,0.20755931735038757,12.07199998316355
000032.npy,0.00084185443,30.747629836755003,0.8751274951234329,0.21435494720935822,12.115499994251877
000033.npy,0.003273724,24.849579449855874,0.6559604595802464,0.27949202060699463,12.208000000100583
000034.npy,0.002868203,25.42390081775892,0.6134284469958308,0.33683329820632935,12.051700003212318
000035.npy,0.0033971376,24.688868600363783,0.6556652375475955,0.268189013004303,12.176699994597584
000036.npy,0.0011096029,29.54832409251893,0.768502983143501,0.4179401695728302,12.124600005336106
000037.npy,0.0022931437,26.39568749445004,0.5820265671545416,0.3392658233642578,12.086100003216416
000038.npy,0.002495589,26.028269480972163,0.5825283215368776,0.3470839858055115,12.213500012876466
000039.npy,0.0023157108,26.35315667322967,0.5854666764937752,0.35528072714805603,12.102400010917336
000040.npy,0.0030381535,25.173902969135934,0.7717878503487203,0.21446017920970917,12.079300009645522
000041.npy,0.002292913,26.39612406603252,0.8641272399292886,0.12595635652542114,12.062399997375906
000042.npy,0.002995377,25.235485425809433,0.8447263795176149,0.11805538833141327,12.15659998706542
000043.npy,0.0023443946,26.299692788281824,0.8604134628202915,0.13127443194389343,12.141500017605722
000044.npy,0.010372788,19.84104516131041,0.7500845004375651,0.25358304381370544,12.097700004233047
000045.npy,0.0037128476,24.302928797253145,0.711726910946205,0.3225138485431671,12.12390000000596
000046.npy,0.003762414,24.24533438471617,0.7247947905770782,0.29846781492233276,12.17439997708425
000047.npy,0.0040510413,23.924333195884632,0.704738925115753,0.35093873739242554,12.065699993399903
000048.npy,0.0009676923,30.142627107930593,0.882365665719368,0.19314083456993103,12.137200013967231
000049.npy,0.01711633,17.665893433678406,0.2529804658536503,0.8193584680557251,12.756099982652813
000050.npy,0.01733943,17.609651822792582,0.258316837157267,0.8301981687545776,12.17580001684837
000051.npy,0.018015563,17.443521219387737,0.25707204565475666,0.7952039241790771,12.167499982751906
000052.npy,0.0023696083,26.25323403082282,0.3722978300524354,0.6925216913223267,12.386499991407618
000053.npy,0.0025592502,25.918872375485925,0.7013512881857715,0.35372209548950195,12.143400002969429
000054.npy,0.0023650758,26.26154948531823,0.7010787876896076,0.3318232595920563,12.075199978426099
000055.npy,0.001873617,27.273192151252893,0.7728265202738717,0.2595406770706177,12.091599986888468
000056.npy,0.0017837792,27.486588802946304,0.8891210129528642,0.12509112060070038,12.464500003261492
000057.npy,0.0008529241,30.690896387525967,0.6898808895433545,0.3920593857765198,12.189600005513057
000058.npy,0.00073631795,31.329345889463475,0.7101462598991394,0.4528714418411255,12.206299987155944
000059.npy,0.00083192775,30.799143931685098,0.688584195656471,0.43449217081069946,12.075500009814277
000060.npy,0.0021867105,26.602087030405237,0.6672694389707595,0.3527761399745941,12.118199985707179
000061.npy,0.00076336757,31.172662903659237,0.7877034838247895,0.3206758201122284,12.225700018461794
000062.npy,0.0008943756,30.484800482266937,0.7622299998726845,0.29642751812934875,12.096199992811307
000063.npy,0.0008389626,30.762574008156463,0.7849584127219915,0.3483957350254059,12.153199990279973
000064.npy,0.0012125474,29.163012721044264,0.9017220453774333,0.16390348970890045,12.050499994074926
000065.npy,0.0018186274,27.40256281960752,0.7340342141241394,0.24302010238170624,12.105800007702783
000066.npy,0.0016914124,27.717504842148905,0.7522421904716343,0.2362101972103119,12.132099975133315
000067.npy,0.0022355525,26.506151387166547,0.7302331227600575,0.29553118348121643,12.096299993572757
000068.npy,0.0013655059,28.64706415712479,0.7461782777945996,0.37858301401138306,12.428300018655136
000069.npy,0.00049767975,33.03050026834674,0.9204230286724567,0.08001575618982315,12.07369999610819
000070.npy,0.0005150846,32.88121414747125,0.9223144421609044,0.07467081397771835,12.080099986633286
000071.npy,0.00048549875,33.138118600402024,0.9240686080236435,0.0793803334236145,12.101600004825741
000072.npy,0.0027809832,25.55801588040002,0.7483037190184575,0.2573228180408478,12.081799999577925
000073.npy,0.0031745392,24.98319300987093,0.6361286370998323,0.36985453963279724,12.078500003553927
000074.npy,0.0032319655,24.90533262955763,0.6506757714502961,0.3454342186450958,12.113699980545789
000075.npy,0.0035911757,24.447633459542423,0.6469862027569041,0.31025123596191406,12.190100009320304
000076.npy,0.00056405604,32.486777429911456,0.8835069171727746,0.17198431491851807,12.081699998816475
000077.npy,0.00048616153,33.1321941666802,0.8233450167512893,0.3454391062259674,12.320100009674206
000078.npy,0.00096526725,30.153524254122793,0.711992366015315,0.4904061257839203,12.145799992140383
000079.npy,0.0004999602,33.01064524772662,0.8117337009717226,0.32520827651023865,12.059399974532425
000080.npy,0.0029398077,25.316810553520654,0.822340956937938,0.18808791041374207,12.174999981652945
000081.npy,0.0023456288,26.297406802271546,0.7777421810880899,0.25431618094444275,12.176699994597584
000082.npy,0.0022806718,26.419372031516165,0.7769117083817567,0.23034954071044922,12.492499983636662
000083.npy,0.0022643493,26.45056564659589,0.7714569810003266,0.25317928194999695,12.268599995877594
000084.npy,0.0051272027,22.901194958505098,0.6198589741387968,0.3477502167224884,12.051799974869937
000085.npy,0.008961912,20.475992909716048,0.7394635479302841,0.2578312158584595,12.240399984875694
000086.npy,0.011640891,19.340137678067432,0.7196178021061271,0.2642906904220581,12.089700001524761
000087.npy,0.010297414,19.8727182197975,0.7321361227459497,0.28189975023269653,12.590799975441769
000088.npy,0.00030672603,35.132493961783744,0.9350103929946423,0.13208648562431335,12.164700019638985
000089.npy,0.0012025788,29.198864678072802,0.8260758852840364,0.19424083828926086,12.110100011341274
000090.npy,0.00085396494,30.68559942698855,0.8705071990939826,0.14113177359104156,12.092499993741512
000091.npy,0.0008877514,30.517086201155898,0.8639976977872104,0.14074353873729706,12.060800014296547
000092.npy,0.0024431767,26.120451300418146,0.6827061128445772,0.3359297811985016,12.073099991539493
000093.npy,0.0003205265,34.941360616405774,0.8566808552274704,0.28951916098594666,12.06920002005063
000094.npy,0.00049333373,33.068592225110244,0.8434079343016148,0.25242185592651367,12.1256000129506
000095.npy,0.00030898018,35.10069411304298,0.8605802043566704,0.28389063477516174,12.079400010406971
000096.npy,0.00846499,20.723735702359573,0.693966140301202,0.31814926862716675,12.252999993506819
000097.npy,0.001305804,28.841219730381663,0.7755577866239324,0.4460052251815796,12.103899993235245
000098.npy,0.0012528903,29.020869611668726,0.7717452841818333,0.4403446316719055,12.086600007023662
000099.npy,0.0013393322,28.73111694387947,0.7712237669581175,0.44957178831100464,12.133699987316504
000100.npy,0.00062415324,32.04708771402189,0.8713554873521328,0.1623455137014389,12.092399992980063
000101.npy,0.00048588996,33.134620549094464,0.8268132795600891,0.38837406039237976,12.087799987057224
000102.npy,0.00058943336,32.29565255006911,0.7992598362438083,0.3715910017490387,12.055600003805012
000103.npy,0.00058276014,32.345101408495296,0.8043000643674731,0.36917844414711,12.114300014218315
000104.npy,0.0018772065,27.264879469739277,0.779035823354722,0.23218941688537598,12.05869999830611
000105.npy,0.0005692097,32.44727738711107,0.9414773097829818,0.06556399166584015,12.056099978508428
000106.npy,0.0003833847,34.163652354549264,0.9508026730294228,0.05551983788609505,12.076000013621524
