filename,sigma,mse,mae,psnr_db,ssim,inference_ms
001863.npy,0.03,0.001459416002035141,0.030465032905340195,28.358208795858282,0.6245322965483665,18.569900000329653
001086.npy,0.03,0.0006495867855846882,0.020868517458438873,31.87362837693246,0.7226631264481544,13.439700000162702
001599.npy,0.03,0.002945355139672756,0.04753468930721283,25.30862317990676,0.7915497611268759,13.347699999940232
000008.npy,0.03,0.005705887917429209,0.056772880256175995,22.436767560515346,0.7277253778081536,13.543999999455991
001552.npy,0.03,0.005396801978349686,0.04750615358352661,22.678635140404126,0.7943177264873572,13.491300000168849
000674.npy,0.03,0.0018135621212422848,0.031606726348400116,27.414675395738165,0.8849204352974892,32.26379999978235
000240.npy,0.03,0.0038273571990430355,0.03622185438871384,24.171009880160263,0.8627286676206589,40.16109999975015
001642.npy,0.03,0.0010810114908963442,0.02437593974173069,29.661696618757702,0.7163511383619309,46.30799999995361
000875.npy,0.03,0.002128938212990761,0.03463850915431976,26.71836902365567,0.6807512151779235,54.517200000191224
001971.npy,0.03,0.0022901901975274086,0.03984317556023598,26.40128474296331,0.5717323194355964,56.77509999986796
001989.npy,0.03,0.0008843075484037399,0.024691754952073097,30.533966683078933,0.9510243476018906,56.848400000490074
001664.npy,0.03,0.004864534363150597,0.05132395029067993,23.129586996750152,0.6882528211102337,56.6752999993696
000681.npy,0.03,0.0010057720355689526,0.023375801742076874,29.975004502766144,0.9000685206127167,56.614600000102655
000968.npy,0.03,0.0030888747423887253,0.038065988570451736,25.101996843882176,0.7710756448816061,23.52210000026389
000382.npy,0.03,0.002777630928903818,0.040005505084991455,25.56325468501868,0.44865858624106647,14.412099999390193
000060.npy,0.03,0.002849041484296322,0.04050729423761368,25.453012363765872,0.6635480927349329,12.690600000496488
002214.npy,0.03,0.0005206702626310289,0.016790201887488365,32.83437231696758,0.8044887903866768,12.311199999203382
002671.npy,0.03,0.0034208656288683414,0.04604227840900421,24.658639929672226,0.7713175957920552,12.278299999707087
000207.npy,0.03,0.005697524640709162,0.052934832870960236,22.443137958769622,0.751008283846671,12.225600000419945
000401.npy,0.03,0.0018097750144079328,0.03571062535047531,27.423754161908693,0.7669337422494888,11.95480000023963
002254.npy,0.03,0.003074949374422431,0.045067060738801956,25.12162026292978,0.5724556982898712,12.152599999353697
