filename,sigma,mse,mae,psnr_db,ssim,inference_ms
001863.npy,0.05,0.0012447783956304193,0.0279558002948761,29.049079360815146,0.6128066783809661,16.50729999983014
001086.npy,0.05,0.0011710604885593057,0.028430383652448654,29.31420667194913,0.6092816553923488,12.159300000348594
001599.npy,0.05,0.0027681603096425533,0.04538101702928543,25.578087431298606,0.7890162458073199,12.06110000020999
000008.npy,0.05,0.005744200199842453,0.05652140453457832,22.40770424309826,0.7163001487521827,12.821499999517982
001552.npy,0.05,0.005777612328529358,0.05190710723400116,22.382516253000855,0.7328649135076701,12.310600000091654
000674.npy,0.05,0.0019821482710540295,0.03228272497653961,27.0286384581243,0.8613256174554825,30.492400000184716
000240.npy,0.05,0.004100596532225609,0.03842411935329437,23.871529624557624,0.8073919112546444,35.245700000814395
001642.npy,0.05,0.0013097384944558144,0.02745506726205349,28.828153890430922,0.6862913365287929,43.922099999690545
000875.npy,0.05,0.0021294336766004562,0.03492765873670578,26.717359077886318,0.6830900215644836,49.8211000003721
001971.npy,0.05,0.0019247622694820166,0.03587796539068222,27.15622884551741,0.5706495972766876,56.637700000464974
001989.npy,0.05,0.0007893058937042952,0.023288462311029434,31.027546626935848,0.8893688586430549,78.89889999933075
001664.npy,0.05,0.004884372465312481,0.051906466484069824,23.111912225231034,0.6749859690022468,90.70410000003903
000681.npy,0.05,0.0012592488201335073,0.026978246867656708,28.99888440103109,0.8237525328282118,43.44730000048003
000968.npy,0.05,0.003476704005151987,0.042624399065971375,24.58832291624104,0.7366271416349411,13.494900000296184
000382.npy,0.05,0.0026586800813674927,0.03946731984615326,25.753339333798614,0.4541740842190981,12.617100000170467
000060.npy,0.05,0.0026822714135050774,0.039239879697561264,25.714972493929974,0.653063536162138,12.41660000050615
002214.npy,0.05,0.0010638805106282234,0.0252215676009655,29.731071510062904,0.6625843636118174,12.45680000010907
002671.npy,0.05,0.003256805706769228,0.04374707117676735,24.87208163694522,0.7603171036364138,12.45059999928344
000207.npy,0.05,0.005883457139134407,0.0545257031917572,22.30367408438675,0.7339994065056108,12.176199999885284
000401.npy,0.05,0.0014800948556512594,0.03138318285346031,28.29710434461346,0.7646832806470394,12.179700000160665
002254.npy,0.05,0.002746803220361471,0.04189962521195412,25.611724564356614,0.5736073648878038,12.046300000292831
001815.npy,0.05,0.0025101080536842346,0.037704966962337494,26.003075844976347,0.8477856176252365,12.04890000008163
000308.npy,0.05,0.0008676084107719362,0.022371364757418633,30.61676237612973,0.8968687820611,12.187299999823153
001023.npy,0.05,0.0025038954336196184,0.037107404321432114,26.01383825173029,0.6836073040530085,12.024299999211507
001894.npy,0.05,0.0025796638801693916,0.034503910690546036,25.88436877914544,0.8303033012159281,11.99689999975817
002943.npy,0.05,0.0023081074468791485,0.037211667746305466,26.367440223878084,0.6162216142024994,11.909500000001572
000751.npy,0.05,0.002949737012386322,0.041938506066799164,25.302167019796787,0.7014709857912809,12.049199999637494
003184.npy,0.05,0.005556961987167597,0.054965563118457794,22.55162565849901,0.7529097144894898,12.059099999532918
000574.npy,0.05,0.0023150003980845213,0.04699324071407318,26.35448915449036,0.964151268469125,12.051100000462611
001837.npy,0.05,0.0026144334115087986,0.03540918603539467,25.826224187039323,0.7114562959232404,12.144299999818031
003142.npy,0.05,0.0007954101311042905,0.02192302793264389,30.99408879495541,0.6680826173341274,12.179199999991397
002931.npy,0.05,0.005758417304605246,0.058160994201898575,22.396968756735774,0.46593311584079267,12.334500000179105
000784.npy,0.05,0.0021128340158611536,0.03423449397087097,26.751346183698512,0.7639625362395048,12.275099999897066
001018.npy,0.05,0.0009108203230425715,0.02202761359512806,30.405672892375723,0.8166762395323515,12.165799999820592
000447.npy,0.05,0.0011368130799382925,0.02564064785838127,29.443108989145873,0.8128244567505121,12.333399999988615
001389.npy,0.05,0.0009931442327797413,0.02517448179423809,30.029876881707786,0.7102582717936039,12.094499999875552
001649.npy,0.05,0.0008997685508802533,0.022419948130846024,30.458691948128166,0.7854538790490627,13.820500000292668
000248.npy,0.05,0.002172096399590373,0.03502621501684189,26.631209127397398,0.7405308157085776,11.926099999982398
000403.npy,0.05,0.0019496810855343938,0.03739550709724426,27.100364279717578,0.8312756892566681,11.985699999968347
002646.npy,0.05,0.001300151227042079,0.031000934541225433,28.860061229568785,0.9085047355136872,12.268200000107754
002676.npy,0.05,0.0018923137104138732,0.0359141081571579,27.23006858334168,0.6759134879754838,12.22790000065288
002758.npy,0.05,0.005518566817045212,0.05835160240530968,22.581736859794002,0.21786191763734816,13.41729999967356
000221.npy,0.05,0.004086304921656847,0.04573432356119156,23.886692354667893,0.6701664610315115,11.9764999999461
001912.npy,0.05,0.006346111185848713,0.061795298010110855,21.974923387556373,0.7939311670538783,11.774600000535429
001683.npy,0.05,0.0015301825478672981,0.026677049696445465,28.15256759381463,0.8823021332686842,11.807300000327814
001734.npy,0.05,0.0008672380936332047,0.02305641770362854,30.61861642088718,0.6507187350516319,12.250100000528619
001451.npy,0.05,0.0011148685589432716,0.02904750220477581,29.527763395356445,0.8488961427583694,12.28609999998298
001765.npy,0.05,0.0017942131962627172,0.03408095985651016,27.46125943370604,0.458698452835083,12.188599999717553
002699.npy,0.05,0.0034786127507686615,0.0466313436627388,24.58593916933343,0.3123212098162174,12.300899999900139
000397.npy,0.05,0.004763911943882704,0.05608126148581505,23.220362852360637,0.3234987979236692,12.474099999963073
000386.npy,0.05,0.005275828763842583,0.05752498283982277,22.777093310380767,0.39960218295277283,12.328200000411016
000779.npy,0.05,0.006653543561697006,0.06063876301050186,21.769470102247684,0.41011267124105616,12.09740000012971
001667.npy,0.05,0.004198785871267319,0.04810509830713272,23.768762785363485,0.5518533373558819,11.870600000293052
001937.npy,0.05,0.003021423239260912,0.043989941477775574,25.19788410399204,0.30178747387123106,11.87839999965945
000995.npy,0.05,0.000895584118552506,0.02405201643705368,30.47893598007271,0.6835209670844078,12.034200000016426
001936.npy,0.05,0.0029500238597393036,0.04616604745388031,25.301744601116766,0.7229899883632921,12.069199999132252
002360.npy,0.05,0.009206741116940975,0.06831967830657959,20.358940739946725,0.7100606087742894,11.974299999565119
002338.npy,0.05,0.0018735404592007399,0.03474505990743637,27.273369182037122,0.44569400342392923,11.990399999376677
000541.npy,0.05,0.0008742011850699782,0.02408527582883835,30.58388588918934,0.7607013983125687,12.135300000409188
002978.npy,0.05,0.002117520198225975,0.03450111299753189,26.74172464102466,0.6323386737998575,12.346100000286242
000877.npy,0.05,0.0004271895159035921,0.015861807391047478,33.693794043177746,0.8123600018649101,12.675999999373744
001988.npy,0.05,0.002119873883202672,0.04356227070093155,26.73689958773284,0.9731427324211598,12.71909999923082
002740.npy,0.05,0.001619347371160984,0.03205318748950958,27.906599904181437,0.7936748022888899,12.629900000320049
001140.npy,0.05,0.001860831631347537,0.028266536071896553,27.302929357694133,0.7498468233317118,12.633199999982025
000974.npy,0.05,0.0011341519420966506,0.025371845811605453,29.45328753059995,0.7367251342909336,12.953600000400911
002105.npy,0.05,0.0018861442804336548,0.03939349949359894,27.244250986538844,0.8075242094068528,12.507999999797903
002954.npy,0.05,0.0013347645290195942,0.02753632329404354,28.745953310456237,0.8752059008074999,12.400700000398501
001353.npy,0.05,0.0010949054267257452,0.02634909562766552,29.606234175242907,0.7060620993795395,12.269599999854108
000128.npy,0.05,0.0009950398234650493,0.02566096931695938,30.021595248790028,0.7907083603093624,12.301300000217452
000276.npy,0.05,0.001030927523970604,0.025271743535995483,29.867718344631335,0.6649076138900518,12.499400000706373
000937.npy,0.05,0.0008429844165220857,0.02007169835269451,30.741805013251483,0.8499635099560022,12.277999999241729
000241.npy,0.05,0.0022375425323843956,0.04542897269129753,26.50228739704447,0.9743556820783615,12.083499999789638
002584.npy,0.05,0.0023368378169834614,0.03423263877630234,26.313714644618315,0.714399719573766,12.476599999899918
002899.npy,0.05,0.0045923213474452496,0.05107890069484711,23.379677374803194,0.670560182765603,12.32830000026297
000290.npy,0.05,0.004678061231970787,0.05324472859501839,23.299340915949386,0.6732144875398743,12.104200000067067
000029.npy,0.05,0.002375572919845581,0.036665625870227814,26.242316206658547,0.7916241163790823,12.225600000419945
003168.npy,0.05,0.001754140481352806,0.03349076211452484,27.559356531797114,0.6654563739929721,12.150099999416852
002410.npy,0.05,0.0060677798464894295,0.05509895831346512,22.16970191416158,0.6585044943799824,12.211600000227918
000942.npy,0.05,0.0009915687842294574,0.026251737028360367,30.03677165441765,0.8091357484018803,12.080299999979616
002268.npy,0.05,0.00190687645226717,0.03209727257490158,27.19677427007079,0.8248465769230574,12.075300000105926
002409.npy,0.05,0.00613779854029417,0.05516728386282921,22.11987348549062,0.662474466602683,12.05519999984972
000086.npy,0.05,0.011141965165734291,0.07769514620304108,19.530381953516414,0.7272021460515857,12.053600000399456
001384.npy,0.05,0.014349715784192085,0.08398672938346863,18.43156700536937,0.6148618919988765,12.019000000691449
000262.npy,0.05,0.001898494316264987,0.03138159587979317,27.215906821091416,0.7228727658129409,12.101999999686086
000920.npy,0.05,0.002346466761082411,0.03479094058275223,26.29585571719477,0.7164196317602992,11.92059999993944
001015.npy,0.05,0.003241518046706915,0.04969105124473572,24.89251574866333,0.8587344193156362,11.971599999924365
000495.npy,0.05,0.003977691754698753,0.050245560705661774,24.003688774837876,0.2516593713991046,12.48340000074677
001849.npy,0.05,0.0015126236248761415,0.031119946390390396,28.202691085380728,0.6978275171451569,12.37200000014127
002119.npy,0.05,0.008779116906225681,0.07127402722835541,20.565491547712,0.5683818796501718,12.418500000421773
001794.npy,0.05,0.004948925226926804,0.051524411886930466,23.054891022137078,0.6218712580808532,12.345000000095752
001529.npy,0.05,0.0009765116265043616,0.024199437350034714,30.10322553652903,0.653885528036356,12.434199999916018
003172.npy,0.05,0.002206228207796812,0.03954736143350601,26.563495708332,0.7739492859258652,12.24720000027446
002751.npy,0.05,0.003256819909438491,0.044311217963695526,24.872062325308534,0.6281597874880434,12.09130000006553
001634.npy,0.05,0.001368399360217154,0.0296066515147686,28.637871467864294,0.6301645705699921,12.179899999864574
