filename,sigma,mse,mae,psnr_db,ssim,inference_ms
001863.npy,0.01,0.0017488597659394145,0.03375471755862236,27.57244991826177,0.6291537511487008,256.1471999997593
001086.npy,0.01,0.00042639742605388165,0.014135492965579033,33.701854201345526,0.8732397809586525,12.182500000562868
001599.npy,0.01,0.0033496245741844177,0.05129106342792511,24.750038429296893,0.7902776012758017,12.130299999626004
000008.npy,0.01,0.005921049974858761,0.05845021456480026,22.27601291970921,0.7287884357841611,12.03700000041863
001552.npy,0.01,0.005377587862312794,0.04562738910317421,22.69412501678588,0.8229747604853846,12.125100000048405
000674.npy,0.01,0.001971388002857566,0.03442713990807533,27.05227879935832,0.8942037714281083,12.0587000001251
000240.npy,0.01,0.0038378150202333927,0.03654789552092552,24.159159427390335,0.8873248179521561,12.017199999718287
001642.npy,0.01,0.0011555168312042952,0.025023385882377625,29.37223699247248,0.7151980659120083,12.059599999702186
000875.npy,0.01,0.0023292717523872852,0.03649430721998215,26.32779834674602,0.6719270108658075,12.068099999851256
001971.npy,0.01,0.0027608973905444145,0.04452924430370331,25.589497607021418,0.5713808714339733,12.048200000208453
001989.npy,0.01,0.0011161532020196319,0.027765804901719093,29.522761758416504,0.9719106496391297,12.137599999732629
001664.npy,0.01,0.005075786262750626,0.05236657336354256,22.944966746639906,0.69485246907565,12.105599999813421
000681.npy,0.01,0.0010611116886138916,0.023510240018367767,29.742388885917833,0.9328921239876747,12.813000000278407
000968.npy,0.01,0.0030787496361881495,0.03675816208124161,25.116256086521005,0.7769541399405002,12.094999999135325
000382.npy,0.01,0.0030016752425581217,0.04158734530210495,25.226362973218457,0.44600627779507634,12.146300000495103
000060.npy,0.01,0.0032135951332747936,0.04323231801390648,24.930088416128065,0.6669307423214912,12.148500000876084
002214.npy,0.01,0.0004380250466056168,0.014512825757265091,33.58501067916717,0.8557896345887184,12.291300000470073
002671.npy,0.01,0.0037861329037696123,0.04951069504022598,24.218041518812132,0.7744894656459093,12.247300000126415
000207.npy,0.01,0.005747760646045208,0.05311468243598938,22.40501298778615,0.7581694390079128,12.239499999850523
000401.npy,0.01,0.002273651771247387,0.04088670015335083,26.432760567805627,0.7631217926700116,12.160600000242994
002254.npy,0.01,0.0034479100722819567,0.048436351120471954,24.624440644623412,0.5725031664527654,12.982399999600602
001815.npy,0.01,0.0027478234842419624,0.040790583938360214,25.61011168047202,0.860951381012559,12.075800000275194
000308.npy,0.01,0.0011362711666151881,0.02527899667620659,29.445180160602614,0.9611497384924889,12.300299999878916
001023.npy,0.01,0.001938016153872013,0.030086126178503036,27.126426322158178,0.7639132995163203,11.94870000017545
001894.npy,0.01,0.0028543886728584766,0.03912094235420227,25.44486896185434,0.8512756347238869,11.99220000034984
002943.npy,0.01,0.002618496073409915,0.03972189500927925,25.819480480518532,0.6278631036806106,12.065300000358548
000751.npy,0.01,0.002802917268127203,0.039834849536418915,25.5238971449116,0.7133059538936615,11.844199999359262
003184.npy,0.01,0.005136628169566393,0.05015502870082855,22.893218528802805,0.8052241902943253,11.95700000062061
000574.npy,0.01,0.003569865832105279,0.05913757532835007,24.473481127128384,0.9654172764991522,13.190200000281038
001837.npy,0.01,0.0023212393280118704,0.03214101865887642,26.342800981317925,0.7637771243910492,11.815000000751752
003142.npy,0.01,0.00037137296749278903,0.01371786743402481,34.30189683799557,0.8739182125902176,11.829900000520865
002931.npy,0.01,0.006274937652051449,0.061589859426021576,22.02390585397088,0.4430525528383851,11.899599999196653
000784.npy,0.01,0.0020642236340790987,0.03158485144376755,26.85243254805354,0.8452044678087235,11.943600000449806
001018.npy,0.01,0.0009903390891849995,0.022897332906723022,30.042160625323945,0.8796027063965798,11.904099999810569
000447.npy,0.01,0.0015037155244499445,0.030418435111641884,28.228343230798927,0.828178005045414,12.593899999956193
001389.npy,0.01,0.0013936939649283886,0.03048219531774521,28.558325932083896,0.7378630351433754,12.200400000438094
001649.npy,0.01,0.0007386927027255297,0.020503992214798927,31.315361934658952,0.854509658393383,207.58179999938875
000248.npy,0.01,0.00230603851377964,0.03426633030176163,26.371334711696576,0.8421229593167305,11.988100000053237
000403.npy,0.01,0.002922528423368931,0.04876817762851715,25.34241227596351,0.8368461482228041,11.965900000177498
002646.npy,0.01,0.002178668277338147,0.041960038244724274,26.618089189679374,0.914501401822567,11.762699999962933
002676.npy,0.01,0.0028385412879288197,0.045845381915569305,25.46904790206031,0.6703267396150827,12.746200000037788
002758.npy,0.01,0.006208914332091808,0.062318895012140274,22.069843263869053,0.20293537474155426,11.894900000697817
000221.npy,0.01,0.004132552072405815,0.04554927349090576,23.837816492290393,0.7025435605102964,11.834500000077242
001912.npy,0.01,0.006072742864489555,0.059392645955085754,22.16615084085035,0.8109838896428346,11.941500000830274
001683.npy,0.01,0.001449821051210165,0.02497989498078823,28.386855841938306,0.9430147968808412,11.953299999731826
001734.npy,0.01,0.00043677131179720163,0.0150346290320158,33.59745898851632,0.8489849274716377,12.255499999810127
001451.npy,0.01,0.0018644382944330573,0.0384967178106308,27.2945193971351,0.8801280348997116,12.221799999679206
001765.npy,0.01,0.002286482136696577,0.03887388855218887,26.408321992185098,0.4616275021972656,12.181500000224332
002699.npy,0.01,0.003855079645290971,0.04919298738241196,24.139666466857875,0.2951388621227741,11.568199999601347
000397.npy,0.01,0.005868779961019754,0.06348007172346115,22.314521736185053,0.32443145377925037,11.750499999834574
000386.npy,0.01,0.005260583944618702,0.057855814695358276,22.789660218283597,0.3826589344753921,11.792100000093342
000779.npy,0.01,0.007493374403566122,0.06345158070325851,21.253225842968387,0.3990814086527601,11.875799999870651
001667.npy,0.01,0.004578035324811935,0.048985984176397324,23.39320862291581,0.5930466863106489,11.855799999466399
001937.npy,0.01,0.0035901316441595554,0.04815387725830078,24.448896407595694,0.2959495952041149,11.846100000184379
000995.npy,0.01,0.001365848584100604,0.030704906210303307,28.64597432408706,0.6930334779314995,12.26539999970555
001936.npy,0.01,0.0039361915551126,0.05600303038954735,24.049237777299105,0.7273888369055689,11.886600000252656
